time,env_temp,rh
2020-10-19 02:11:00,77.16,58.283
2020-10-19 02:12:00,77.203,58.286
2020-10-19 02:13:00,77.16,58.283
2020-10-19 02:14:00,77.16,58.283
2020-10-19 02:15:00,77.16,58.313
2020-10-19 02:16:00,77.16,58.283
2020-10-19 02:17:00,77.16,58.313
2020-10-19 02:18:00,77.16,58.283
2020-10-19 02:19:00,77.16,58.344
2020-10-19 02:20:00,77.16,58.344
2020-10-19 02:21:00,77.16,58.344
2020-10-19 02:22:00,77.16,58.405
2020-10-19 02:23:00,77.203,58.409
2020-10-19 02:24:00,77.203,58.44
2020-10-19 02:25:00,77.203,58.378
2020-10-19 02:26:00,77.203,58.378
2020-10-19 02:27:00,77.203,58.378
2020-10-19 02:28:00,77.203,58.44
2020-10-19 02:29:00,77.203,58.378
2020-10-19 02:30:00,77.203,58.409
2020-10-19 02:31:00,77.203,58.44
2020-10-19 02:32:00,77.203,58.47
2020-10-19 02:33:00,77.203,58.47
2020-10-19 02:34:00,77.203,58.44
2020-10-19 02:35:00,77.203,58.47
2020-10-19 02:36:00,77.203,58.47
2020-10-19 02:37:00,77.203,58.47
2020-10-19 02:38:00,77.203,58.47
2020-10-19 02:39:00,77.203,58.47
2020-10-19 02:40:00,77.247,58.474
2020-10-19 02:41:00,77.247,58.474
2020-10-19 02:42:00,77.247,58.474
2020-10-19 02:43:00,77.247,58.474
2020-10-19 02:44:00,77.247,58.474
2020-10-19 02:45:00,77.247,58.474
2020-10-19 02:46:00,77.247,58.44300000000001
2020-10-19 02:47:00,77.247,58.474
2020-10-19 02:48:00,77.247,58.474
2020-10-19 02:49:00,77.247,58.413
2020-10-19 02:50:00,77.247,58.413
2020-10-19 02:51:00,77.247,58.413
2020-10-19 02:52:00,77.247,58.474
2020-10-19 02:53:00,77.247,58.474
2020-10-19 02:54:00,77.247,58.474
2020-10-19 02:55:00,77.247,58.474
2020-10-19 02:56:00,77.247,58.44300000000001
2020-10-19 02:57:00,77.292,58.478
2020-10-19 02:58:00,77.247,58.413
2020-10-19 02:59:00,77.247,58.44300000000001
2020-10-19 03:00:00,77.292,58.447
2020-10-19 03:01:00,77.292,58.447
2020-10-19 03:02:00,77.292,58.447
