Date,Time,TC,TS,Clo,Act
2020-10-23,00:00,,,,
2020-10-23,00:30,,,,
2020-10-23,01:00,,,,
2020-10-23,01:30,,,,
2020-10-23,02:00,,,,
2020-10-23,02:30,,,,
2020-10-23,03:00,,,,
2020-10-23,03:30,,,,
2020-10-23,04:00,,,,
2020-10-23,04:30,,,,
2020-10-23,05:00,,,,
2020-10-23,05:30,,,,
2020-10-23,06:00,,,,
2020-10-23,06:30,,,,
2020-10-23,07:00,,,,
2020-10-23,07:30,,,,
2020-10-23,08:00,,,,
2020-10-23,08:30,,,,
2020-10-23,09:00,,,,
2020-10-23,09:30,5,4,0.31,0.8
2020-10-23,10:00,5,4,0.31,0.8
2020-10-23,10:30,4,4,0.31,0.8
2020-10-23,11:00,4,4,0.31,0.8
2020-10-23,11:30,4,4,0.31,1
2020-10-23,12:00,4,4,0.31,1
2020-10-23,12:30,4,4,0.31,1
2020-10-23,13:00,3,4,0.31,1
2020-10-23,13:30,3,4,0.31,1
2020-10-23,14:00,3,4,0.31,1
2020-10-23,14:30,3,4,0.32,1.8
2020-10-23,15:00,5,4,0.36,1.1
2020-10-23,15:30,4,4,0.36,1
2020-10-23,16:00,3,4,0.36,1
2020-10-23,16:30,4,4,0.54,1
2020-10-23,17:00,4,4,0.54,1
2020-10-23,17:30,4,4,0.54,1
2020-10-23,18:00,4,4,0.54,1
2020-10-23,18:30,4,4,0.54,1
2020-10-23,19:00,4,4,0.54,1
2020-10-23,19:30,4,4,0.54,1
2020-10-23,20:00,4,4,0.54,1
2020-10-23,20:30,4,4,0.54,1
2020-10-23,21:00,4,4,0.54,1
2020-10-23,21:30,4,4,0.54,1
2020-10-23,22:00,5,4,0.36,3.5
2020-10-23,22:30,5,4,0.36,3.5
2020-10-23,23:00,,,,
2020-10-23,23:30,,,,
2020-10-24,00:00,,,,
2020-10-24,00:30,,,,
2020-10-24,01:00,,,,
2020-10-24,01:30,,,,
2020-10-24,02:00,,,,
2020-10-24,02:30,,,,
2020-10-24,03:00,,,,
2020-10-24,03:30,,,,
2020-10-24,04:00,,,,
2020-10-24,04:30,,,,
2020-10-24,05:00,,,,
2020-10-24,05:30,,,,
2020-10-24,06:00,,,,
2020-10-24,06:30,,,,
2020-10-24,07:00,,,,
2020-10-24,07:30,,,,
2020-10-24,08:00,,,,
2020-10-24,08:30,4,4,0.31,0.8
2020-10-24,09:00,4,4,0.31,0.8
2020-10-24,09:30,4,4,0.31,0.8
2020-10-24,10:00,3,4,0.54,1
2020-10-24,10:30,3,4,0.54,1
2020-10-24,11:00,3,4,0.54,1
2020-10-24,11:30,3,4,0.54,1
2020-10-24,12:00,3,4,0.54,1
2020-10-24,12:30,3,4,0.54,1
2020-10-24,13:00,3,4,0.54,1
2020-10-24,13:30,4,4,0.36,2.5
2020-10-24,14:00,4,4,0.36,1.8
2020-10-24,14:30,4,4,0.36,1.8
2020-10-24,15:00,5,4,0.36,1
2020-10-24,15:30,5,4,0.36,1
2020-10-24,16:00,4,4,0.36,1
2020-10-24,16:30,4,4,0.36,1
2020-10-24,17:00,4,4,0.36,1
2020-10-24,17:30,4,4,0.36,1
2020-10-24,18:00,3,4,0.36,1
2020-10-24,18:30,3,4,0.36,1
2020-10-24,19:00,3,4,0.36,1
2020-10-24,19:30,4,4,0.36,1
2020-10-24,20:00,4,4,0.36,1
2020-10-24,20:30,4,4,0.36,1
2020-10-24,21:00,4,4,0.36,1
2020-10-24,21:30,4,4,0.31,0.8
2020-10-24,22:00,4,4,0.31,0.8
2020-10-24,22:30,4,4,0.31,0.8
2020-10-24,23:00,4,4,0.31,0.8
2020-10-24,23:30,,,,
2020-10-25,00:00,,,,
2020-10-25,00:30,,,,
2020-10-25,01:00,,,,
2020-10-25,01:30,,,,
2020-10-25,02:00,,,,
2020-10-25,02:30,,,,
2020-10-25,03:00,,,,
2020-10-25,03:30,,,,
2020-10-25,04:00,,,,
2020-10-25,04:30,,,,
2020-10-25,05:00,,,,
2020-10-25,05:30,,,,
2020-10-25,06:00,,,,
2020-10-25,06:30,,,,
2020-10-25,07:00,,,,
2020-10-25,07:30,,,,
2020-10-25,08:00,,,,
2020-10-25,08:30,,,,
2020-10-25,09:00,,,,
2020-10-25,09:30,4,4,0.31,0.8
2020-10-25,10:00,4,4,0.31,0.8
2020-10-25,10:30,4,4,0.31,1
2020-10-25,11:00,4,4,0.36,2.5
2020-10-25,11:30,4,4,0.36,1.8
2020-10-25,12:00,4,4,0.36,1.8
2020-10-25,12:30,5,4,0.36,1.1
2020-10-25,13:00,5,4,0.36,1.1
2020-10-25,13:30,4,4,0.36,1
2020-10-25,14:00,4,4,0.36,1
2020-10-25,14:30,4,4,0.36,1
2020-10-25,15:00,5,4,0.36,1
2020-10-25,15:30,5,4,0.36,1
2020-10-25,16:00,4,4,0.36,1
2020-10-25,16:30,4,4,0.36,1
2020-10-25,17:00,4,4,0.36,1
2020-10-25,17:30,4,4,0.36,1
2020-10-25,18:00,4,4,0.36,1
2020-10-25,18:30,4,4,0.36,0.8
2020-10-25,19:00,4,4,0.36,0.8
2020-10-25,19:30,4,4,0.36,1
2020-10-25,20:00,4,4,0.36,1
2020-10-25,20:30,4,4,0.36,1
2020-10-25,21:00,4,4,0.36,1
2020-10-25,21:30,4,4,0.36,1
2020-10-25,22:00,4,4,0.36,1
2020-10-25,22:30,4,4,0.36,1
2020-10-25,23:00,4,4,0.31,0.8
2020-10-25,23:30,4,4,0.31,0.8
