time,heart_rate
2020-10-26 15:28:00,90.0
2020-10-26 15:30:00,88.0
2020-10-26 15:31:00,90.0
2020-10-26 15:32:00,94.0
2020-10-26 15:33:00,92.0
2020-10-26 15:34:00,90.0
2020-10-26 15:35:00,92.0
2020-10-26 15:36:00,88.0
2020-10-26 15:37:00,90.0
2020-10-26 15:38:00,92.0
2020-10-26 15:40:00,90.0
2020-10-26 15:41:00,87.0
2020-10-26 15:42:00,89.0
2020-10-26 15:43:00,84.0
2020-10-26 15:44:00,87.0
2020-10-26 15:47:00,86.0
2020-10-26 15:48:00,89.0
2020-10-26 15:49:00,88.0
2020-10-26 15:50:00,87.0
2020-10-26 15:51:00,86.0
2020-10-26 15:52:00,87.0
2020-10-26 15:53:00,86.0
2020-10-26 15:54:00,93.0
2020-10-26 15:55:00,87.0
2020-10-26 15:56:00,86.0
2020-10-26 15:57:00,94.0
2020-10-26 15:58:00,86.0
2020-10-26 15:59:00,89.0
2020-10-26 16:00:00,101.0
2020-10-26 16:01:00,99.0
2020-10-26 16:02:00,92.0
2020-10-26 16:03:00,98.0
2020-10-26 16:04:00,99.0
2020-10-26 16:05:00,96.0
2020-10-26 16:07:00,93.0
2020-10-26 16:08:00,95.0
2020-10-26 16:09:00,94.0
2020-10-26 16:10:00,92.0
2020-10-26 16:11:00,90.0
2020-10-26 16:12:00,93.0
2020-10-26 16:13:00,94.0
2020-10-26 16:14:00,93.0
2020-10-26 16:15:00,92.0
2020-10-26 16:17:00,113.0
2020-10-26 16:18:00,142.0
2020-10-26 16:19:00,131.0
2020-10-26 16:22:00,108.0
2020-10-26 16:23:00,94.0
2020-10-26 16:24:00,89.0
2020-10-26 16:25:00,87.0
2020-10-26 16:26:00,82.0
2020-10-26 16:27:00,88.0
2020-10-26 16:28:00,96.0
2020-10-26 16:29:00,92.0
2020-10-26 16:30:00,85.0
2020-10-26 16:31:00,92.0
2020-10-26 16:33:00,83.0
2020-10-26 16:34:00,80.0
2020-10-26 16:36:00,87.0
2020-10-26 16:37:00,81.0
2020-10-26 16:38:00,78.0
2020-10-26 16:40:00,79.0
2020-10-26 16:42:00,80.0
2020-10-26 16:43:00,82.0
2020-10-26 16:45:00,95.0
2020-10-26 16:46:00,83.0
2020-10-26 16:47:00,82.0
2020-10-26 16:48:00,85.0
2020-10-26 16:49:00,84.0
2020-10-26 16:50:00,82.0
2020-10-26 16:51:00,78.0
2020-10-26 16:52:00,79.0
2020-10-26 16:54:00,78.0
2020-10-26 16:55:00,83.0
2020-10-26 16:56:00,80.0
2020-10-26 16:57:00,82.0
2020-10-26 16:58:00,75.0
2020-10-26 16:59:00,79.0
2020-10-26 17:00:00,82.0
2020-10-26 17:01:00,80.0
2020-10-26 17:02:00,83.0
2020-10-26 17:03:00,82.0
2020-10-26 17:04:00,76.0
2020-10-26 17:05:00,75.0
2020-10-26 17:07:00,77.0
2020-10-26 17:08:00,79.0
2020-10-26 17:09:00,78.0
2020-10-26 17:10:00,74.0
2020-10-26 17:11:00,76.0
2020-10-26 17:12:00,77.0
2020-10-26 17:13:00,76.0
2020-10-26 17:14:00,77.0
2020-10-26 17:15:00,81.0
2020-10-26 17:16:00,80.0
2020-10-26 17:17:00,76.0
2020-10-26 17:18:00,75.0
2020-10-26 17:19:00,73.0
2020-10-26 17:20:00,71.0
2020-10-26 17:21:00,72.0
2020-10-26 17:23:00,81.0
2020-10-26 17:24:00,80.0
2020-10-26 17:25:00,77.0
2020-10-26 17:26:00,71.0
2020-10-26 17:27:00,68.0
2020-10-26 17:28:00,71.0
2020-10-26 17:30:00,74.0
2020-10-26 17:32:00,75.0
2020-10-26 17:33:00,68.0
2020-10-26 17:34:00,73.0
2020-10-26 23:57:00,70.0
2020-10-26 23:58:00,72.0
2020-10-26 23:59:00,70.0
2020-10-26 19:49:00,95.0
2020-10-26 19:50:00,91.0
2020-10-26 19:51:00,88.0
2020-10-26 19:53:00,92.0
2020-10-26 19:54:00,94.0
2020-10-26 19:55:00,93.0
2020-10-26 19:56:00,94.0
2020-10-26 19:57:00,98.0
2020-10-26 19:58:00,100.0
2020-10-26 19:59:00,97.0
2020-10-26 20:00:00,95.0
2020-10-26 20:01:00,94.0
2020-10-26 20:03:00,92.0
2020-10-26 20:05:00,93.0
2020-10-26 20:06:00,90.0
2020-10-26 20:07:00,89.0
2020-10-26 20:08:00,93.0
2020-10-26 20:10:00,91.0
2020-10-26 20:11:00,87.0
2020-10-26 20:12:00,90.0
2020-10-26 20:13:00,85.0
2020-10-26 20:14:00,87.0
2020-10-26 20:15:00,88.0
2020-10-26 20:16:00,93.0
2020-10-26 20:18:00,96.0
