@RELATION sensation

@ATTRIBUTE env_temp NUMERIC
@ATTRIBUTE rh NUMERIC
@ATTRIBUTE heart_rate NUMERIC
@ATTRIBUTE stress_level NUMERIC
@ATTRIBUTE skin_temp NUMERIC
@ATTRIBUTE eda NUMERIC
@ATTRIBUTE Clo NUMERIC
@ATTRIBUTE Act NUMERIC
@ATTRIBUTE TS {very_cool,slight_cool,cool,neutral,warm,slightly_warm,very_warm}

@DATA
24.255,34.2,86.0,17.36231884,30.94581081,0.11902249999999999,0.5,1.0,cool
24.06222222,33.96,63.0,23.0,30.166999999999998,0.14912,0.5,1.0,cool
23.86888889,34.64,73.0,13.0,31.719,0.170487,0.5,1.0,cool
23.86888889,35.39,74.0,8.0,32.059,0.1822125,0.5,1.0,cool
24.15777778,36.63,74.5,9.0,30.721999999999998,0.164951,0.5,2.5,cool
24.44777778,36.26,72.32098765,1.0,30.008000000000003,0.158944,0.5,1.0,cool
24.44777778,38.16,69.0,3.0,30.94581081,0.017930500000000002,0.5,1.0,cool
24.35111111,38.19,87.0,59.0,30.061,0.0510255,0.5,1.1,cool
24.255,39.56,82.0,35.5,31.745,0.080954,0.5,1.0,cool
24.255,39.37,76.0,20.0,32.941,0.0996595,0.5,1.0,cool
24.545,39.16,74.0,18.0,32.733000000000004,0.112194,0.5,1.0,cool
24.44777778,40.49,77.0,17.36231884,31.875999999999998,0.11820699999999999,0.5,1.0,cool
24.545,40.74,76.0,24.0,31.013,0.1135745,0.5,1.0,cool
24.73777778,40.53,73.0,22.0,31.85,0.114876,0.5,1.0,cool
24.93111111,39.89,70.5,10.0,32.215,0.1462305,0.5,1.0,cool
25.02777778,39.71,72.0,5.0,32.656,0.153838,0.5,1.0,cool
24.835,39.98,66.0,0.0,31.901999999999997,0.1609295,0.5,1.0,cool
24.64111111,41.05,86.0,17.36231884,30.563000000000002,0.2819095,0.5,1.0,cool
