time,heart_rate
2020-10-23 19:42:00,75.0
2020-10-23 19:43:00,76.0
2020-10-23 11:02:00,67.0
2020-10-23 11:03:00,76.0
2020-10-23 11:04:00,93.0
2020-10-23 11:05:00,79.0
2020-10-23 11:06:00,69.0
2020-10-23 11:07:00,64.0
2020-10-23 11:08:00,67.0
2020-10-23 11:09:00,71.0
2020-10-23 00:13:00,0.0
2020-10-23 00:29:00,0.0
2020-10-23 00:34:00,92.0
2020-10-23 00:35:00,83.0
2020-10-23 00:36:00,0.0
2020-10-23 00:52:00,0.0
2020-10-23 01:08:00,0.0
2020-10-23 01:24:00,0.0
2020-10-23 01:40:00,0.0
2020-10-23 01:56:00,0.0
2020-10-23 02:12:00,0.0
2020-10-23 02:28:00,0.0
2020-10-23 02:44:00,0.0
2020-10-23 03:00:00,0.0
2020-10-23 03:16:00,0.0
2020-10-23 03:32:00,0.0
2020-10-23 03:48:00,0.0
2020-10-23 04:04:00,0.0
2020-10-23 04:20:00,0.0
2020-10-23 04:36:00,0.0
2020-10-23 04:52:00,0.0
2020-10-23 05:08:00,0.0
2020-10-23 05:24:00,0.0
2020-10-23 05:40:00,0.0
2020-10-23 05:56:00,0.0
2020-10-23 06:12:00,0.0
2020-10-23 06:28:00,0.0
2020-10-23 06:44:00,0.0
2020-10-23 07:00:00,0.0
2020-10-23 07:16:00,0.0
2020-10-23 07:32:00,0.0
2020-10-23 07:48:00,0.0
2020-10-23 08:04:00,0.0
2020-10-23 08:20:00,0.0
2020-10-23 08:36:00,0.0
2020-10-23 08:52:00,0.0
2020-10-23 09:08:00,0.0
2020-10-23 09:24:00,0.0
2020-10-23 09:40:00,0.0
2020-10-23 09:56:00,0.0
2020-10-23 10:12:00,0.0
2020-10-23 10:28:00,0.0
2020-10-23 10:44:00,0.0
2020-10-23 11:00:00,0.0
2020-10-23 11:01:00,84.0
2020-10-23 11:10:00,87.0
2020-10-23 11:11:00,71.0
2020-10-23 11:12:00,67.0
2020-10-23 11:13:00,70.0
2020-10-23 11:14:00,68.0
2020-10-23 11:15:00,69.0
2020-10-23 11:17:00,68.0
2020-10-23 11:18:00,69.0
2020-10-23 11:19:00,71.0
2020-10-23 11:20:00,79.0
2020-10-23 11:21:00,71.0
2020-10-23 11:22:00,63.0
2020-10-23 11:23:00,66.0
2020-10-23 11:24:00,78.0
2020-10-23 11:25:00,72.0
2020-10-23 11:26:00,66.0
2020-10-23 11:27:00,70.0
2020-10-23 11:28:00,87.0
2020-10-23 11:29:00,68.0
2020-10-23 11:30:00,72.0
2020-10-23 11:31:00,80.0
2020-10-23 11:32:00,73.0
2020-10-23 11:33:00,67.0
2020-10-23 11:34:00,83.0
2020-10-23 11:35:00,87.0
2020-10-23 11:36:00,68.0
2020-10-23 11:37:00,62.0
2020-10-23 11:38:00,66.0
2020-10-23 11:39:00,87.0
2020-10-23 11:40:00,67.0
2020-10-23 11:41:00,71.0
2020-10-23 11:42:00,67.0
2020-10-23 11:43:00,68.0
2020-10-23 11:44:00,67.0
2020-10-23 11:45:00,66.0
2020-10-23 11:46:00,77.0
2020-10-23 11:47:00,78.0
2020-10-23 11:49:00,84.0
2020-10-23 11:50:00,79.0
2020-10-23 11:51:00,75.0
2020-10-23 11:52:00,71.0
2020-10-23 11:53:00,72.0
2020-10-23 11:54:00,79.0
2020-10-23 11:55:00,92.0
2020-10-23 11:56:00,95.0
2020-10-23 11:57:00,80.0
2020-10-23 11:58:00,83.0
2020-10-23 11:59:00,75.0
2020-10-23 12:00:00,81.0
2020-10-23 12:01:00,85.0
2020-10-23 12:02:00,87.0
2020-10-23 12:03:00,88.0
2020-10-23 12:04:00,87.0
2020-10-23 12:06:00,78.0
2020-10-23 12:07:00,75.0
2020-10-23 12:08:00,82.0
2020-10-23 12:09:00,90.0
2020-10-23 12:10:00,86.0
2020-10-23 12:11:00,87.0
2020-10-23 12:12:00,88.0
2020-10-23 12:13:00,90.0
2020-10-23 12:14:00,94.0
2020-10-23 12:15:00,93.0
2020-10-23 12:16:00,88.0
2020-10-23 12:17:00,85.0
2020-10-23 12:19:00,77.0
2020-10-23 12:21:00,76.0
2020-10-23 12:22:00,78.0
2020-10-23 12:23:00,80.0
2020-10-23 12:24:00,81.0
2020-10-23 12:26:00,91.0
2020-10-23 12:27:00,95.0
2020-10-23 12:28:00,72.0
2020-10-23 12:29:00,77.0
2020-10-23 12:30:00,76.0
2020-10-23 12:32:00,73.0
2020-10-23 12:33:00,72.0
2020-10-23 12:34:00,78.0
2020-10-23 12:35:00,79.0
2020-10-23 12:36:00,81.0
2020-10-23 12:37:00,84.0
2020-10-23 12:38:00,101.0
2020-10-23 12:39:00,83.0
2020-10-23 12:40:00,79.0
2020-10-23 12:41:00,76.0
2020-10-23 12:42:00,77.0
2020-10-23 12:43:00,76.0
2020-10-23 12:44:00,77.0
2020-10-23 12:45:00,75.0
2020-10-23 12:46:00,74.0
2020-10-23 12:47:00,88.0
2020-10-23 12:48:00,105.0
2020-10-23 12:49:00,74.0
2020-10-23 12:51:00,79.0
2020-10-23 12:52:00,73.0
2020-10-23 12:53:00,72.0
