time,env_temp,rh
2020-10-26 00:00:00,73.926,45.05
2020-10-26 00:01:00,73.926,45.11
2020-10-26 00:02:00,73.926,45.15
2020-10-26 00:03:00,73.926,45.15
2020-10-26 00:04:00,73.926,45.15
2020-10-26 00:05:00,73.926,45.15
2020-10-26 00:06:00,73.926,45.15
2020-10-26 00:07:00,73.926,45.15
2020-10-26 00:08:00,73.753,45.17
2020-10-26 00:09:00,73.753,45.17
2020-10-26 00:10:00,73.753,45.24
2020-10-26 00:11:00,73.753,45.27
2020-10-26 00:12:00,73.753,45.27
2020-10-26 00:13:00,73.753,45.33
2020-10-26 00:14:00,73.753,45.36
2020-10-26 00:15:00,73.753,45.39
2020-10-26 00:16:00,73.753,45.39
2020-10-26 00:17:00,73.753,45.42
2020-10-26 00:18:00,73.753,45.42
2020-10-26 00:19:00,73.753,45.46
2020-10-26 00:20:00,73.753,45.46
2020-10-26 00:21:00,73.753,45.46
2020-10-26 00:22:00,73.753,45.46
2020-10-26 00:23:00,73.58,45.55
2020-10-26 00:24:00,73.58,45.64
2020-10-26 00:25:00,73.58,45.64
2020-10-26 00:26:00,73.58,45.67
2020-10-26 00:27:00,73.58,45.7
2020-10-26 00:28:00,73.58,45.74
2020-10-26 00:29:00,73.58,45.77
2020-10-26 00:30:00,73.58,45.8
2020-10-26 00:31:00,73.58,45.83
2020-10-26 00:32:00,73.58,45.83
2020-10-26 00:33:00,73.58,45.86
2020-10-26 00:34:00,73.58,45.89
2020-10-26 00:35:00,73.58,45.86
2020-10-26 00:36:00,73.58,45.86
2020-10-26 00:37:00,73.58,45.86
2020-10-26 00:38:00,73.58,45.83
2020-10-26 00:39:00,73.407,45.83
2020-10-26 00:40:00,73.407,45.86
2020-10-26 00:41:00,73.407,45.89
2020-10-26 00:42:00,73.407,45.92
2020-10-26 00:43:00,73.407,45.95
2020-10-26 00:44:00,73.407,45.92
2020-10-26 00:45:00,73.407,45.92
2020-10-26 00:46:00,73.407,45.89
2020-10-26 00:47:00,73.407,45.89
2020-10-26 00:48:00,73.407,45.89
2020-10-26 00:49:00,73.407,45.89
2020-10-26 00:50:00,73.407,45.89
2020-10-26 00:51:00,73.407,45.86
2020-10-26 00:52:00,73.234,45.89
2020-10-26 00:53:00,73.234,45.89
2020-10-26 00:54:00,73.234,45.85
2020-10-26 00:55:00,73.234,45.85
2020-10-26 00:56:00,73.234,45.85
2020-10-26 00:57:00,73.234,45.85
2020-10-26 00:58:00,73.234,45.85
2020-10-26 00:59:00,73.234,45.92
2020-10-26 01:00:00,73.234,45.92
2020-10-26 01:01:00,73.234,45.92
2020-10-26 01:02:00,73.234,45.92
2020-10-26 01:03:00,73.234,45.92
2020-10-26 01:04:00,73.234,45.95
2020-10-26 01:05:00,73.062,45.95
2020-10-26 01:06:00,73.234,45.95
2020-10-26 01:07:00,73.062,45.98
2020-10-26 01:08:00,73.062,46.01
2020-10-26 01:09:00,73.062,46.07
2020-10-26 01:10:00,73.062,46.07
2020-10-26 01:11:00,73.062,46.07
2020-10-26 01:12:00,73.062,46.07
2020-10-26 01:13:00,73.062,46.07
2020-10-26 01:14:00,73.062,46.07
2020-10-26 01:15:00,73.062,46.07
2020-10-26 01:16:00,73.062,46.04
2020-10-26 01:17:00,73.062,46.04
2020-10-26 01:18:00,73.062,46.01
2020-10-26 01:19:00,73.062,46.01
2020-10-26 01:20:00,73.062,46.01
2020-10-26 01:21:00,73.062,46.01
2020-10-26 01:22:00,73.062,46.01
2020-10-26 01:23:00,72.891,46.04
2020-10-26 01:24:00,72.891,46.01
2020-10-26 01:25:00,72.891,46.01
2020-10-26 01:26:00,72.891,46.01
2020-10-26 01:27:00,72.891,46.01
2020-10-26 01:28:00,72.891,46.01
2020-10-26 01:29:00,72.891,46.01
2020-10-26 01:30:00,72.891,46.04
2020-10-26 01:31:00,72.891,46.04
2020-10-26 01:32:00,72.891,46.04
2020-10-26 01:33:00,72.891,46.07
2020-10-26 01:34:00,72.891,46.07
2020-10-26 01:35:00,72.891,46.07
2020-10-26 01:36:00,72.718,46.1
2020-10-26 01:37:00,72.718,46.13
2020-10-26 01:38:00,72.718,46.13
2020-10-26 01:39:00,72.718,46.16
2020-10-26 01:40:00,72.718,46.16
2020-10-26 01:41:00,72.718,46.19
2020-10-26 01:42:00,72.718,46.19
2020-10-26 01:43:00,72.718,46.26
2020-10-26 01:44:00,72.718,46.29
2020-10-26 01:45:00,72.718,46.32
2020-10-26 01:46:00,72.718,46.38
2020-10-26 01:47:00,72.718,46.42
2020-10-26 01:48:00,72.718,46.48
2020-10-26 01:49:00,72.718,46.51
2020-10-26 01:50:00,72.718,46.58
2020-10-26 01:51:00,72.718,46.58
