height,weight,gender,bmi,rh,stress_level,skin_temp,TC,TS,Clo,env_temp
1.63,50.0,1.0,18.81892431,55.07,61.0,30.114,3.0,4.0,0.5,76.006
1.6,63.0,1.0,24.609375,56.26,32.111012956419316,30.986,4.0,4.0,0.5,75.312
1.77,68.0,-1.0,21.70512943,58.896,1.0,32.137,4.0,4.0,0.54,76.071
1.69,75.0,-1.0,26.25958475,25.41,32.111012956419316,30.021,3.0,4.0,0.36,75.65899999999998
1.83,74.0,-1.0,22.09680791,48.4,0.0,31.458,4.0,7.0,0.5,78.449
1.71,64.0,-1.0,21.88707637,44.9,32.111012956419316,33.173,5.0,5.0,0.61,78.8
1.6,63.0,1.0,24.609375,50.73,12.0,31.248,4.0,4.0,0.5,79.85300000000002
1.63,50.0,1.0,18.81892431,49.91,16.0,32.00344904279279,3.0,4.0,0.5,74.619
1.71,64.0,-1.0,21.88707637,53.58,10.0,32.00344904279279,5.0,5.0,0.5,78.624
1.77,58.0,-1.0,18.51319863,57.481,9.0,33.405,4.0,4.0,0.36,76.768
1.77,68.0,-1.0,21.70512943,55.51,22.0,32.604,3.0,4.0,0.54,77.335
1.6,52.5,1.0,20.5078125,64.675,22.0,32.00344904279279,4.0,4.0,0.96,75.333
1.71,64.0,-1.0,21.88707637,53.38,32.111012956419316,32.00344904279279,4.0,4.0,0.61,73.407
1.77,68.0,-1.0,21.70512943,59.896,28.0,32.00344904279279,4.0,4.0,0.54,76.375
1.77,68.0,-1.0,21.70512943,56.59,32.111012956419316,32.00344904279279,4.0,4.0,0.54,72.653
1.77,68.0,-1.0,21.70512943,51.415,24.0,30.96,3.0,4.0,0.54,75.767
1.6,52.5,1.0,20.5078125,61.545,25.0,30.59,4.0,4.0,0.53,75.204
1.71,64.0,-1.0,21.88707637,57.05,23.0,33.585,5.0,4.0,0.5,77.4
1.63,50.0,1.0,18.81892431,57.33,0.0,31.065,3.0,5.0,0.31,78.8
1.62,56.0,1.0,21.33821064,50.637,2.0,32.007,3.0,4.0,0.57,72.91199999999998
1.66,57.0,1.0,20.68515024,53.52,21.0,31.379,4.0,4.0,0.36,77.05
1.77,58.0,-1.0,18.51319863,54.177,2.0,32.681999999999995,4.0,4.0,0.36,78.382
1.77,68.0,-1.0,21.70512943,51.135,32.111012956419316,32.00344904279279,4.0,4.0,0.54,73.256
1.64,54.0,1.0,20.07733492,39.93,1.0,32.604,4.0,4.0,1.0,75.484
1.83,74.0,-1.0,22.09680791,48.98,57.0,33.044000000000004,4.0,5.0,0.5,82.152
1.78,73.0,-1.0,23.0400202,56.15,27.0,32.215,4.0,4.0,0.36,77.749
1.83,74.0,-1.0,22.09680791,58.71,53.0,32.526,4.0,4.0,0.31,78.975
1.66,57.0,1.0,20.68515024,24.99,9.0,31.222,4.0,4.0,0.57,75.312
1.8,75.0,-1.0,23.14814815,44.21,5.0,31.248,6.0,5.0,0.31,80.735
1.77,68.0,-1.0,21.70512943,50.106,24.0,32.681999999999995,3.0,4.0,0.54,73.558
1.78,73.0,-1.0,23.0400202,45.99,74.0,33.456,4.0,5.0,0.36,77.574
1.6,52.5,1.0,20.5078125,61.074,48.0,32.00344904279279,4.0,4.0,0.54,78.07600000000002
1.74,65.0,-1.0,21.46915048,51.27,40.0,32.474000000000004,4.0,6.0,0.36,81.266
1.77,58.0,-1.0,18.51319863,54.137,82.0,32.215,4.0,4.0,0.36,77.421
1.8,75.0,-1.0,23.14814815,49.69,43.5,30.431,4.0,5.0,0.31,80.735
1.64,54.0,1.0,20.07733492,43.41,32.111012956419316,32.318000000000005,4.0,4.0,0.74,75.484
1.77,58.0,-1.0,18.51319863,52.894,68.0,31.615,4.0,4.0,0.36,78.91
1.67,56.0,1.0,20.07960128,48.9,72.0,32.00344904279279,4.0,4.0,0.67,72.545
1.64,54.0,1.0,20.07733492,62.332,2.0,32.00344904279279,4.0,5.0,0.74,76.986
1.77,68.0,-1.0,21.70512943,59.601000000000006,32.111012956419316,32.00344904279279,3.0,4.0,0.54,75.767
1.83,74.0,-1.0,22.09680791,52.71,6.0,32.00344904279279,4.0,5.0,0.5,77.4
1.74,65.0,-1.0,21.46915048,53.12,15.0,33.07,5.0,7.0,0.54,79.502
1.77,90.0,-1.0,28.72737719,59.68899999999999,32.111012956419316,32.00344904279279,4.0,4.0,0.36,76.768
1.71,64.0,-1.0,21.88707637,52.24,32.111012956419316,32.37,5.0,5.0,0.5,77.574
1.69,75.0,-1.0,26.25958475,52.14,32.111012956419316,31.588,3.0,5.0,0.31,77.4
1.77,68.0,-1.0,21.70512943,52.661,32.111012956419316,32.733000000000004,4.0,4.0,0.54,75.029
1.64,54.0,1.0,20.07733492,60.839,20.0,31.458,4.0,4.0,0.74,78.865
1.77,90.0,-1.0,28.72737719,59.302,33.0,32.941,5.0,4.0,0.36,78.733
1.66,57.0,1.0,20.68515024,15.0,14.5,32.00344904279279,4.0,4.0,0.67,78.098
1.62,56.0,1.0,21.33821064,30.599,39.0,30.431,5.0,5.0,0.61,79.084
1.6,63.0,1.0,24.609375,56.19,12.0,32.00344904279279,4.0,4.0,0.96,70.995
1.78,73.0,-1.0,23.0400202,40.95,75.0,33.25,4.0,7.0,0.36,78.098
1.77,90.0,-1.0,28.72737719,62.285,29.0,32.137,5.0,4.0,0.36,77.945
1.77,68.0,-1.0,21.70512943,51.49800000000001,21.0,31.955,3.0,4.0,0.54,75.594
1.77,68.0,-1.0,21.70512943,59.511,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.42
1.69,75.0,-1.0,26.25958475,55.69,32.111012956419316,33.559,3.0,6.0,0.31,79.85300000000002
1.78,73.0,-1.0,23.0400202,52.31,32.111012956419316,33.173,4.0,4.0,0.36,81.975
1.78,73.0,-1.0,23.0400202,57.56,32.111012956419316,30.828000000000007,4.0,4.0,0.36,77.574
1.77,68.0,-1.0,21.70512943,53.541,11.0,32.5,4.0,4.0,0.54,76.63600000000002
1.6,52.5,1.0,20.5078125,46.666,32.111012956419316,32.00344904279279,5.0,4.0,0.96,80.096
1.63,50.0,1.0,18.81892431,56.15,32.111012956419316,31.117,3.0,5.0,0.31,78.975
1.77,68.0,-1.0,21.70512943,58.527,78.0,30.272,3.0,3.0,0.54,77.509
1.71,64.0,-1.0,21.88707637,44.14,32.111012956419316,30.828000000000007,4.0,5.0,0.61,76.876
1.77,68.0,-1.0,21.70512943,58.03100000000001,32.111012956419316,32.00344904279279,3.0,3.0,0.54,78.208
1.8,75.0,-1.0,23.14814815,37.79,45.0,30.986,5.0,5.0,0.31,81.797
1.63,50.0,1.0,18.81892431,55.82,32.111012956419316,30.775,3.0,5.0,0.31,77.749
1.77,58.0,-1.0,18.51319863,58.445,32.111012956419316,32.00344904279279,4.0,4.0,0.36,76.899
1.66,57.0,1.0,20.68515024,51.62,17.0,32.474000000000004,4.0,4.0,0.31,78.624
1.77,68.0,-1.0,21.70512943,54.187,32.111012956419316,32.00344904279279,3.0,4.0,0.54,71.577
1.62,56.0,1.0,21.33821064,57.108,69.0,30.537,4.0,6.0,0.61,77.029
1.83,74.0,-1.0,22.09680791,52.36,10.0,30.933000000000003,3.0,3.0,0.5,78.274
1.77,68.0,-1.0,21.70512943,58.587,32.111012956419316,32.00344904279279,4.0,4.0,0.54,76.768
1.6,52.5,1.0,20.5078125,61.364,32.111012956419316,30.775,5.0,4.0,0.5,80.008
1.71,64.0,-1.0,21.88707637,55.05,32.111012956419316,32.00344904279279,4.0,4.0,0.74,71.683
1.6,63.0,1.0,24.609375,52.91,15.0,30.748,4.0,4.0,0.96,74.271
1.77,68.0,-1.0,21.70512943,51.489,18.0,32.033,3.0,4.0,0.54,75.46300000000002
1.6,63.0,1.0,24.609375,51.37,18.0,30.986,4.0,4.0,0.96,76.703
1.78,73.0,-1.0,23.0400202,62.56,30.0,32.344,4.0,5.0,0.5,75.832
1.78,73.0,-1.0,23.0400202,44.66,32.111012956419316,33.25,4.0,5.0,0.36,76.181
1.62,56.0,1.0,21.33821064,52.265,32.111012956419316,32.00344904279279,4.0,6.0,0.61,76.071
1.69,75.0,-1.0,26.25958475,54.75,93.0,33.765,3.0,4.0,0.31,78.8
1.83,74.0,-1.0,22.09680791,59.94,69.0,32.396,6.0,4.0,0.31,78.098
1.71,64.0,-1.0,21.88707637,43.21,14.0,30.96,4.0,5.0,0.61,76.703
1.67,56.0,1.0,20.07960128,56.23,47.0,32.00344904279279,3.0,4.0,0.36,75.139
1.8,75.0,-1.0,23.14814815,46.99,1.0,32.656,4.0,5.0,0.31,81.266
1.78,73.0,-1.0,23.0400202,51.55,84.0,33.456,4.0,5.0,0.36,80.206
1.64,54.0,1.0,20.07733492,41.79,0.0,32.63,4.0,4.0,0.74,77.225
1.64,54.0,1.0,20.07733492,60.82,60.0,32.215,4.0,4.0,0.74,78.645
1.63,50.0,1.0,18.81892431,55.23,7.0,31.327,3.0,5.0,0.31,79.32600000000002
1.64,54.0,1.0,20.07733492,42.12,32.111012956419316,32.00344904279279,4.0,4.0,0.74,74.098
1.62,56.0,1.0,21.33821064,37.331,19.0,32.085,5.0,5.0,0.61,78.382
1.69,75.0,-1.0,26.25958475,52.05,32.111012956419316,33.199,3.0,5.0,0.31,79.502
1.6,63.0,1.0,24.609375,55.12,12.0,30.986,4.0,4.0,0.96,73.926
1.74,65.0,-1.0,21.46915048,50.4,49.0,32.344,4.0,5.0,0.36,83.221
1.77,90.0,-1.0,28.72737719,59.824,21.0,33.199,4.0,4.0,0.36,76.55
1.77,68.0,-1.0,21.70512943,59.847,32.111012956419316,32.00344904279279,3.0,4.0,0.54,76.507
1.64,54.0,1.0,20.07733492,43.15,0.0,33.507,3.0,4.0,0.74,74.271
1.77,58.0,-1.0,18.51319863,51.941,95.0,31.745,4.0,4.0,0.36,76.419
1.64,54.0,1.0,20.07733492,60.858,41.0,31.588,4.0,4.0,0.74,79.128
1.83,74.0,-1.0,22.09680791,55.4,32.111012956419316,30.748,4.0,6.0,0.5,78.098
1.8,75.0,-1.0,23.14814815,51.28,0.0,32.00344904279279,5.0,5.0,0.31,80.029
1.63,50.0,1.0,18.81892431,53.66,11.0,32.00344904279279,3.0,4.0,0.5,77.749
1.77,90.0,-1.0,28.72737719,59.589,32.111012956419316,32.00344904279279,4.0,5.0,0.36,76.681
1.64,54.0,1.0,20.07733492,38.39,0.0,32.267,4.0,4.0,1.0,76.006
1.67,56.0,1.0,20.07960128,54.87,32.111012956419316,31.065,4.0,6.0,0.36,76.703
1.66,57.0,1.0,20.68515024,40.57,32.111012956419316,31.431,3.0,4.0,0.57,75.139
1.62,56.0,1.0,21.33821064,41.405,60.0,32.00344904279279,4.0,6.0,0.61,73.342
1.77,68.0,-1.0,21.70512943,58.132,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.72399999999998
1.66,57.0,1.0,20.68515024,50.39,6.0,31.85,4.0,4.0,0.31,77.923
1.74,65.0,-1.0,21.46915048,50.69,3.0,32.63,4.0,5.0,0.36,81.797
1.66,57.0,1.0,20.68515024,38.86,52.5,31.379,5.0,4.0,0.57,75.312
1.77,58.0,-1.0,18.51319863,50.269,17.0,32.837,4.0,4.0,0.36,78.953
1.77,90.0,-1.0,28.72737719,58.037,0.0,32.552,4.0,4.0,0.36,75.16
1.62,56.0,1.0,21.33821064,41.246,22.0,32.785,5.0,6.0,0.61,77.684
1.78,73.0,-1.0,23.0400202,41.71,56.0,32.863,4.0,7.0,0.36,78.098
1.77,58.0,-1.0,18.51319863,51.65600000000001,51.0,31.955,3.0,4.0,0.36,77.727
1.66,57.0,1.0,20.68515024,15.61,32.111012956419316,31.693,4.0,4.0,0.36,73.234
1.77,68.0,-1.0,21.70512943,54.40600000000001,24.0,30.669,4.0,4.0,0.54,76.028
1.64,54.0,1.0,20.07733492,61.437,7.0,32.137,3.0,3.0,0.74,78.07600000000002
1.63,50.0,1.0,18.81892431,52.02,32.111012956419316,32.00344904279279,3.0,4.0,0.5,74.271
1.77,68.0,-1.0,21.70512943,56.13,32.111012956419316,32.00344904279279,3.0,4.0,0.54,77.684
1.77,68.0,-1.0,21.70512943,61.701,32.111012956419316,32.00344904279279,4.0,4.0,0.54,74.597
1.6,52.5,1.0,20.5078125,50.664,32.111012956419316,31.143,3.0,3.0,0.36,77.292
1.66,57.0,1.0,20.68515024,49.73,2.0,32.007,4.0,4.0,0.54,78.449
1.66,57.0,1.0,20.68515024,39.83,32.111012956419316,30.695,4.0,4.0,0.31,75.312
1.77,68.0,-1.0,21.70512943,53.145,70.0,34.405,4.0,4.0,0.54,74.33800000000002
1.71,64.0,-1.0,21.88707637,50.26,44.0,30.907,5.0,5.0,0.5,77.749
1.77,68.0,-1.0,21.70512943,56.826,69.0,33.096,3.0,4.0,0.54,77.072
1.74,65.0,-1.0,21.46915048,53.28,32.111012956419316,32.00344904279279,4.0,5.0,0.31,80.382
1.77,68.0,-1.0,21.70512943,56.455,69.0,32.889,4.0,4.0,0.54,75.551
1.77,58.0,-1.0,18.51319863,49.352,53.0,31.51,3.0,4.0,0.36,78.777
1.6,63.0,1.0,24.609375,52.22,20.0,31.588,4.0,4.0,0.5,79.502
1.77,68.0,-1.0,21.70512943,52.777,32.111012956419316,32.00344904279279,3.0,4.0,0.54,72.39399999999998
1.77,68.0,-1.0,21.70512943,54.206,76.0,32.085,4.0,4.0,0.54,75.074
1.69,75.0,-1.0,26.25958475,45.11,8.0,32.578,4.0,5.0,0.36,77.05
1.78,73.0,-1.0,23.0400202,62.22,80.0,32.941,5.0,4.0,0.36,78.8
1.77,68.0,-1.0,21.70512943,55.621,32.111012956419316,32.00344904279279,3.0,4.0,0.54,77.553
1.8,75.0,-1.0,23.14814815,52.82,57.0,31.431,5.0,3.0,0.31,81.266
1.66,57.0,1.0,20.68515024,53.65,0.0,31.17,4.0,4.0,0.54,76.181
1.63,50.0,1.0,18.81892431,58.07,39.0,32.00344904279279,3.0,6.0,0.31,77.923
1.6,52.5,1.0,20.5078125,37.682,32.111012956419316,32.00344904279279,4.0,5.0,0.54,75.247
1.6,52.5,1.0,20.5078125,63.182,34.0,30.722,5.0,4.0,0.5,77.509
1.77,58.0,-1.0,18.51319863,52.872,81.0,30.378,4.0,4.0,0.36,76.986
1.83,74.0,-1.0,22.09680791,51.87,8.0,33.096,4.0,6.0,0.5,79.502
1.77,58.0,-1.0,18.51319863,53.117,24.0,30.669,4.0,4.0,0.36,77.292
1.71,64.0,-1.0,21.88707637,53.83,32.111012956419316,32.00344904279279,4.0,4.0,0.61,73.062
1.63,50.0,1.0,18.81892431,54.1,32.111012956419316,30.14,3.0,4.0,0.5,76.006
1.77,68.0,-1.0,21.70512943,57.602,32.111012956419316,32.00344904279279,5.0,4.0,0.54,74.51100000000002
1.6,52.5,1.0,20.5078125,57.054,35.0,30.272,4.0,4.0,0.96,73.818
1.77,68.0,-1.0,21.70512943,53.15,32.111012956419316,32.00344904279279,4.0,4.0,0.54,72.351
1.77,90.0,-1.0,28.72737719,60.962,15.0,31.117,4.0,5.0,0.36,75.117
1.69,75.0,-1.0,26.25958475,53.52,32.111012956419316,32.396,3.0,6.0,0.31,80.382
1.67,56.0,1.0,20.07960128,49.81,57.0,30.061,3.0,3.0,0.67,74.964
1.71,64.0,-1.0,21.88707637,56.18,9.0,33.636,3.0,5.0,0.5,76.703
1.83,74.0,-1.0,22.09680791,54.71,45.0,32.163000000000004,5.0,5.0,0.5,79.32600000000002
1.6,52.5,1.0,20.5078125,45.492,32.111012956419316,32.00344904279279,4.0,4.0,0.61,79.304
1.63,50.0,1.0,18.81892431,59.7,9.0,32.00344904279279,3.0,6.0,0.31,78.8
1.83,74.0,-1.0,22.09680791,46.83,70.0,33.25,4.0,5.0,0.5,80.029
1.66,57.0,1.0,20.68515024,51.6,7.0,32.00344904279279,5.0,4.0,0.31,75.139
1.64,54.0,1.0,20.07733492,44.01,18.0,33.044000000000004,4.0,4.0,0.74,74.619
1.77,68.0,-1.0,21.70512943,58.545,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.898
1.77,90.0,-1.0,28.72737719,59.508,26.0,32.915,3.0,4.0,0.36,76.464
1.77,68.0,-1.0,21.70512943,58.985,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.681
1.77,90.0,-1.0,28.72737719,61.249,0.0,32.085,4.0,4.0,0.36,74.943
1.77,58.0,-1.0,18.51319863,54.028,62.0,32.007,4.0,4.0,0.36,77.639
1.77,58.0,-1.0,18.51319863,53.042,96.5,33.25,5.0,3.0,0.36,80.492
1.77,68.0,-1.0,21.70512943,55.344,36.0,31.719,4.0,4.0,0.54,75.247
1.6,52.5,1.0,20.5078125,41.024,32.111012956419316,32.00344904279279,5.0,5.0,0.31,77.859
1.6,52.5,1.0,20.5078125,51.933,32.111012956419316,30.537,4.0,4.0,0.96,77.596
1.64,54.0,1.0,20.07733492,44.45,32.111012956419316,32.111,4.0,4.0,0.74,75.312
1.69,75.0,-1.0,26.25958475,38.93,46.0,32.941,4.0,5.0,0.67,77.225
1.77,68.0,-1.0,21.70512943,59.275,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.508
1.62,56.0,1.0,21.33821064,31.215,11.0,30.272,4.0,4.0,0.61,74.986
1.63,50.0,1.0,18.81892431,55.58,14.0,30.537,3.0,4.0,0.5,76.006
1.77,90.0,-1.0,28.72737719,59.451,6.0,32.889,3.0,5.0,0.36,74.381
1.66,57.0,1.0,20.68515024,61.29,25.0,32.604,4.0,4.0,0.31,74.964
1.6,52.5,1.0,20.5078125,63.661,71.0,31.353,5.0,3.0,0.54,76.507
1.8,75.0,-1.0,23.14814815,55.38,38.0,32.00344904279279,4.0,5.0,0.31,78.624
1.69,75.0,-1.0,26.25958475,45.18,4.0,33.302,3.0,5.0,0.36,77.05
1.6,63.0,1.0,24.609375,35.57,54.0,32.00344904279279,4.0,4.0,0.5,76.181
1.69,75.0,-1.0,26.25958475,52.35,32.111012956419316,32.267,3.0,5.0,0.31,79.502
1.6,63.0,1.0,24.609375,55.51,57.5,32.5,4.0,4.0,0.96,78.8
1.64,54.0,1.0,20.07733492,44.19,32.111012956419316,33.405,4.0,4.0,1.0,74.271
1.69,75.0,-1.0,26.25958475,45.13,28.0,30.801,3.0,5.0,0.36,76.528
1.6,63.0,1.0,24.609375,58.76,23.0,31.458,4.0,4.0,0.36,79.15100000000002
1.63,50.0,1.0,18.81892431,60.29,81.0,30.88,3.0,6.0,0.31,77.574
1.64,54.0,1.0,20.07733492,61.07100000000001,71.0,32.085,4.0,4.0,0.74,79.435
1.77,68.0,-1.0,21.70512943,56.014,32.111012956419316,30.352,4.0,4.0,0.54,75.074
1.8,75.0,-1.0,23.14814815,48.25,1.0,32.00344904279279,5.0,5.0,0.31,81.09
1.77,68.0,-1.0,21.70512943,50.16,32.111012956419316,32.111,3.0,3.0,0.54,78.339
1.77,58.0,-1.0,18.51319863,51.275,76.5,32.215,3.0,3.0,0.36,77.77
1.71,64.0,-1.0,21.88707637,53.54,11.0,31.85,4.0,4.0,0.5,77.923
1.62,56.0,1.0,21.33821064,47.03,0.0,32.292,4.0,6.0,0.61,76.811
1.77,58.0,-1.0,18.51319863,55.68,45.0,32.00344904279279,4.0,4.0,0.36,78.69
1.83,74.0,-1.0,22.09680791,46.29,18.0,32.837,4.0,7.0,0.5,79.85300000000002
1.6,63.0,1.0,24.609375,55.33,5.0,32.085,4.0,4.0,0.36,78.975
1.74,65.0,-1.0,21.46915048,51.86,39.0,32.474000000000004,4.0,6.0,0.36,80.206
1.77,68.0,-1.0,21.70512943,59.145,32.111012956419316,32.00344904279279,3.0,4.0,0.54,75.767
1.64,54.0,1.0,20.07733492,37.02,0.0,32.422,4.0,4.0,1.0,75.832
1.8,75.0,-1.0,23.14814815,50.23,32.111012956419316,31.588,4.0,5.0,0.31,80.559
1.77,68.0,-1.0,21.70512943,58.621,32.111012956419316,32.00344904279279,4.0,4.0,0.54,76.071
1.83,74.0,-1.0,22.09680791,49.13,43.0,32.189,4.0,5.0,0.5,81.62100000000002
1.77,68.0,-1.0,21.70512943,59.157,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.551
1.66,57.0,1.0,20.68515024,25.02,21.0,30.88,4.0,4.0,0.67,74.271
1.62,56.0,1.0,21.33821064,44.413,7.0,32.085,4.0,6.0,0.61,78.208
1.71,64.0,-1.0,21.88707637,41.99,42.0,32.448,3.0,4.0,0.74,76.354
1.64,54.0,1.0,20.07733492,40.66,27.0,32.681999999999995,4.0,4.0,0.74,76.703
1.77,68.0,-1.0,21.70512943,58.76300000000001,32.111012956419316,32.00344904279279,4.0,4.0,0.54,75.942
1.77,68.0,-1.0,21.70512943,57.69300000000001,32.111012956419316,33.482,3.0,4.0,0.54,76.725
1.62,56.0,1.0,21.33821064,26.252,58.5,31.222,5.0,6.0,0.57,79.347
1.6,63.0,1.0,24.609375,55.05,32.111012956419316,30.695,4.0,4.0,0.36,77.574
1.6,63.0,1.0,24.609375,33.43,32.111012956419316,32.00344904279279,4.0,4.0,0.5,77.574
1.83,74.0,-1.0,22.09680791,52.49,57.0,32.604,4.0,4.0,0.5,80.735
1.62,56.0,1.0,21.33821064,45.927,54.0,32.00344904279279,4.0,6.0,0.61,77.639
1.6,63.0,1.0,24.609375,59.54,75.0,32.37,4.0,4.0,0.5,78.975
1.69,75.0,-1.0,26.25958475,56.75,78.0,31.431,3.0,6.0,0.31,80.029
1.77,68.0,-1.0,21.70512943,54.066,60.0,30.246,4.0,4.0,0.54,75.29
1.77,90.0,-1.0,28.72737719,56.611,32.111012956419316,32.007,3.0,5.0,0.36,74.03399999999998
1.66,57.0,1.0,20.68515024,39.61,32.111012956419316,31.091,4.0,4.0,0.57,75.312
1.69,75.0,-1.0,26.25958475,45.8,0.0,30.642,3.0,5.0,0.36,76.528
1.74,65.0,-1.0,21.46915048,51.68,32.111012956419316,32.00344904279279,3.0,3.0,0.36,80.206
1.69,75.0,-1.0,26.25958475,52.9,32.111012956419316,32.007,3.0,4.0,0.31,79.15100000000002
1.66,57.0,1.0,20.68515024,43.03,3.0,30.325,4.0,4.0,0.31,74.446
1.83,74.0,-1.0,22.09680791,51.51,66.0,31.484,4.0,5.0,0.5,79.678
1.77,68.0,-1.0,21.70512943,57.744,32.111012956419316,32.00344904279279,3.0,4.0,0.54,76.593
1.77,68.0,-1.0,21.70512943,56.551,8.5,31.902,5.0,4.0,0.54,75.594
1.77,68.0,-1.0,21.70512943,58.974,24.0,33.122,5.0,4.0,0.54,75.551
1.74,65.0,-1.0,21.46915048,50.52,32.111012956419316,33.044000000000004,3.0,4.0,0.31,81.266
1.66,57.0,1.0,20.68515024,41.51,11.0,31.222,4.0,4.0,0.31,74.271
1.77,58.0,-1.0,18.51319863,47.166,77.0,31.013,4.0,3.0,0.36,77.292
1.6,63.0,1.0,24.609375,52.21,52.0,31.143,4.0,4.0,0.5,79.85300000000002
1.66,57.0,1.0,20.68515024,50.19,27.0,31.405,3.0,4.0,0.54,76.703
1.77,58.0,-1.0,18.51319863,55.822,6.0,33.07,4.0,4.0,0.36,77.727
1.78,73.0,-1.0,23.0400202,44.73,54.0,32.344,4.0,5.0,0.36,79.678
1.77,68.0,-1.0,21.70512943,57.825,36.0,31.955,4.0,4.0,0.54,76.464
