height,weight,gender,bmi,age,rh,heart_rate,stress_level,skin_temp,eda,TC,TS,Clo,Act,env_temp
1.6,52.5,1.0,20.5078125,24.0,62.985,83.0,19.5,32.00344904279279,0.17697100000000002,4.0,4.0,0.61,1.1,75.942
1.77,58.0,-1.0,18.51319863,23.0,48.702,79.0,2.0,30.933000000000003,0.0388215,4.0,4.0,0.36,1.1,77.378
1.71,64.0,-1.0,21.88707637,27.0,47.99,79.5,33.0,33.199,0.4759465,4.0,4.0,0.61,1.0,75.484
1.77,58.0,-1.0,18.51319863,23.0,52.445,92.0,53.0,30.431,0.009851500000000001,4.0,4.0,0.36,1.0,77.203
1.77,58.0,-1.0,18.51319863,23.0,56.396,78.43582755203171,80.0,30.087,0.003597000000000001,4.0,4.0,0.36,1.0,77.902
1.77,90.0,-1.0,28.72737719,28.0,58.161,72.0,32.111012956419316,31.876,10.333466,4.0,4.0,0.36,1.1,75.16
1.71,64.0,-1.0,21.88707637,27.0,51.62,86.0,30.0,32.941,0.078877,5.0,5.0,0.5,1.0,77.749
1.64,54.0,1.0,20.07733492,24.0,41.87,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,4.0,4.0,0.74,1.0,73.926
1.8,75.0,-1.0,23.14814815,33.0,51.9,73.0,0.0,31.981,0.448295,4.0,5.0,0.31,1.0,79.32600000000002
1.77,68.0,-1.0,21.70512943,24.0,57.932,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,5.0,4.0,0.54,1.0,74.42399999999998
1.67,56.0,1.0,20.07960128,26.0,57.78,88.0,50.0,32.00344904279279,0.215777,4.0,4.0,0.74,1.1,73.234
1.77,68.0,-1.0,21.70512943,24.0,60.07,75.0,34.0,31.615,0.013302,3.0,3.0,0.54,1.0,76.63600000000002
1.77,68.0,-1.0,21.70512943,24.0,58.981,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,4.0,4.0,0.54,1.0,73.472
1.77,68.0,-1.0,21.70512943,24.0,54.59,78.43582755203171,20.0,32.00344904279279,0.013311000000000002,4.0,4.0,0.54,1.1,75.985
1.69,75.0,-1.0,26.25958475,24.0,55.34,79.0,77.0,31.641,0.001231,3.0,6.0,0.31,1.0,80.029
1.78,73.0,-1.0,23.0400202,24.0,62.45,61.5,9.0,33.199,0.1117265,5.0,4.0,0.36,1.0,78.274
1.77,68.0,-1.0,21.70512943,24.0,58.453,78.43582755203171,32.111012956419316,32.00344904279279,0.6672387206951386,4.0,4.0,0.54,1.0,74.03399999999998
1.8,75.0,-1.0,23.14814815,33.0,55.14,65.0,15.0,32.63,2.589786,5.0,4.0,0.31,1.0,78.449
1.62,56.0,1.0,21.33821064,24.0,57.452,67.0,28.0,31.17,0.0344485,5.0,6.0,0.61,1.0,75.204
1.77,68.0,-1.0,21.70512943,24.0,48.82,73.5,14.0,32.00344904279279,0.006144999999999999,3.0,4.0,0.54,1.0,73.558
1.77,68.0,-1.0,21.70512943,24.0,56.51,103.0,32.111012956419316,31.955,0.036597000000000005,4.0,4.0,0.54,1.1,75.46300000000002
1.77,58.0,-1.0,18.51319863,23.0,53.448,99.0,71.0,30.695,0.003778,4.0,4.0,0.36,1.0,77.072
1.83,74.0,-1.0,22.09680791,24.0,47.71,78.43582755203171,7.0,32.007,0.0497005,4.0,7.0,0.5,1.1,79.502
1.69,75.0,-1.0,26.25958475,24.0,38.92,101.0,32.111012956419316,31.745,0.0031704999999999997,4.0,5.0,0.67,1.0,76.876
1.6,63.0,1.0,24.609375,24.0,52.15,78.5,23.5,31.798,0.007440500000000002,4.0,4.0,0.96,1.1,79.678
1.74,65.0,-1.0,21.46915048,23.0,54.76,61.0,12.0,33.507,0.5444035,5.0,6.0,0.36,1.0,80.029
1.62,56.0,1.0,21.33821064,24.0,39.703,78.43582755203171,6.0,32.474000000000004,0.038186000000000005,5.0,5.0,0.61,1.8,80.492
1.66,57.0,1.0,20.68515024,25.0,55.35,90.0,32.111012956419316,30.431,0.01195,3.0,4.0,0.32,1.8,76.181
1.71,64.0,-1.0,21.88707637,27.0,55.83,59.0,8.0,33.456,0.051396500000000005,3.0,5.0,0.5,1.0,76.876
