@RELATION signals

@ATTRIBUTE env_temp NUMERIC
@ATTRIBUTE rh NUMERIC
@ATTRIBUTE heart_rate NUMERIC
@ATTRIBUTE stress_level NUMERIC
@ATTRIBUTE skin_temp NUMERIC
@ATTRIBUTE eda NUMERIC
@ATTRIBUTE Clo NUMERIC
@ATTRIBUTE Act NUMERIC
@ATTRIBUTE TC {1.0,2.0,3.0,4.0,5.0,6.0,7.0}

@DATA
24.87111111,52.412,75.0,5.0,32.241,0.06896849999999999,0.36,1.0,4.0
25.45277778,52.935,87.60958904,0.0,32.604,0.08203400000000001,0.36,1.0,4.0
25.16222222,53.812,87.60958904,71.0,30.325,0.020998,0.36,1.1,4.0
26.81777778,51.233999999999995,102.5,78.0,33.635999999999996,0.5859489999999999,0.36,1.3,5.0
25.91388889,54.924,89.0,52.0,31.901999999999997,0.09374299999999999,0.36,0.8,4.0
25.28277778,53.13399999999999,92.0,41.18571429,32.163000000000004,0.0682085,0.36,1.0,3.0
26.06111111,53.018,103.0,35.0,31.875999999999998,0.0417655,0.36,1.1,4.0
25.84111111,57.748000000000005,87.60958904,56.0,32.836999999999996,0.07789249999999999,0.36,1.0,4.0
25.79277778,54.306000000000004,78.0,52.0,30.96,0.016239,0.36,1.3,5.0
24.94388889,51.083,84.0,10.0,32.5,0.017662,0.36,0.8,3.0
25.525,54.681000000000004,89.0,39.0,31.824,0.007541,0.36,1.0,4.0
25.08888889,49.68899999999999,81.0,23.0,32.474000000000004,0.020959000000000002,0.36,0.8,4.0
25.81722222,54.343999999999994,87.60958904,22.0,33.482,0.0841615,0.36,0.8,4.0
25.89,55.485,82.0,41.18571429,32.759,0.10438399999999999,0.36,0.8,4.0
25.695,51.31399999999999,94.0,54.0,33.044000000000004,0.027939,0.36,0.8,4.0
25.23388889,60.077,0.0,41.18571429,32.41599375,0.08675231900000001,0.36,0.8,4.0
25.355,54.028,96.0,62.0,32.007,0.024015,0.36,1.0,4.0
24.82277778,57.751000000000005,66.0,3.0,32.889,0.07499249999999999,0.36,0.8,4.0
24.87111111,57.481,68.5,9.0,33.405,0.057183500000000005,0.36,0.8,4.0
25.64722222,54.571999999999996,94.0,61.0,32.007,0.037176999999999995,0.36,1.1,4.0
25.08888889,60.328,81.0,15.0,32.033,0.0340445,0.36,1.2,4.0
26.15777778,54.99,91.0,63.0,32.681999999999995,0.128582,0.36,1.1,5.0
26.67111111,51.181999999999995,109.0,93.5,32.785,0.30592800000000003,0.36,1.3,5.0
25.59777778,53.778,79.0,11.0,33.147,0.052989,0.36,0.8,4.0
24.895,57.54600000000001,0.0,41.18571429,32.41599375,0.08675231900000001,0.36,0.8,4.0
25.18611111,53.089,87.60958904,6.0,32.189,0.038168,0.36,0.8,4.0
26.01222222,57.278,96.0,41.18571429,31.666999999999998,0.025702,0.36,1.0,4.0
25.33111111,60.031000000000006,79.0,11.0,32.266999999999996,0.1381415,0.36,2.5,4.0
25.11277778,52.571999999999996,83.0,41.18571429,33.379,0.0608105,0.36,0.8,4.0
26.94,53.042,119.0,96.5,33.25,0.11339300000000001,0.36,1.3,5.0
25.50111111,53.79600000000001,78.0,7.0,32.63,0.041761,0.36,1.0,4.0
25.25777778,53.92,87.60958904,81.0,31.430999999999997,0.018377,0.36,1.1,4.0
25.16222222,53.117,84.0,24.0,30.669,0.023072,0.36,1.0,4.0
24.82277778,57.474,89.0,59.0,32.785,0.074487,0.36,1.1,4.0
25.42777778,54.227,76.0,7.0,33.07,0.021013499999999997,0.36,0.8,4.0
25.525,53.452,88.0,33.0,32.604,0.06690549999999999,0.36,0.8,4.0
27.30777778,53.123999999999995,87.60958904,80.0,34.277,0.4494565,0.36,1.3,5.0
25.13722222,52.416000000000004,80.5,14.5,33.302,0.008836,0.36,0.8,4.0
26.475,57.191,89.0,67.0,32.733000000000004,0.0297595,0.36,1.0,4.0
26.37777778,53.123999999999995,92.5,67.0,32.681999999999995,0.07740599999999999,0.36,1.3,5.0
25.84111111,53.938,80.0,14.0,33.044000000000004,0.0489875,0.36,0.8,4.0
25.76777778,54.177,77.0,2.0,32.681999999999995,0.0694265,0.36,1.0,4.0
25.89,53.09,88.0,51.0,31.666999999999998,0.058222,0.36,1.1,4.0
25.30722222,52.915,80.0,18.0,33.199,0.08188,0.36,1.0,3.0
25.30722222,52.534,93.0,57.0,31.1565,0.040565,0.36,1.1,4.0
25.84111111,57.408,85.0,29.0,32.733000000000004,0.070283,0.36,1.0,4.0
24.91888889,51.048,87.60958904,75.0,31.3,0.015802,0.36,1.1,4.0
