env_temp,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,TC
22.71722222,53.09,78,30.11111111,32.6646747,0.34182887,0.61,1,4
22.81222222,53.83,81,30.11111111,32.6646747,0.34182887,0.61,1,4
22.90777778,54.04,83,45.5,32.6646747,0.34182887,0.61,1,4
23.00388889,54.29,77,20,32.6646747,0.34182887,0.74,1,3
23.00388889,54.61,72,8,32.6646747,0.34182887,0.74,1,3
20.805,56.61,73.1827957,8,33.636,0.0789235,0.74,0.8,3
20.805,56.36,58,17,33.868,0.0955895,0.74,1,3
20.805,56.11,70,24,34.073,0.1071645,0.74,1,3
20.90111111,56.33,66,2,32.215,0.0964465,0.74,1,3
21.09111111,55.35,88,30.11111111,31.876,0.0920145,0.74,1,3
21.18722222,55.23,64,8,31.719,0.092987,0.74,1,4
21.56888889,55.08,83,30.11111111,31.719,0.089954,0.74,1,4
23.00388889,52.19,80,21,32.733,0.1511195,0.74,1,4
23.38777778,51.72,84,57,33.533,0.0357605,0.74,1,5
24.255,49.52,80,57,33.842,0.064024,0.61,1,5
24.06222222,50.06,87,30.11111111,33.173,0.1191695,0.61,1,5
24.255,49.41,78.5,28,33.43,0.0852145,0.61,1,5
24.06222222,49.95,75,18,33.302,0.0897815,0.61,1.1,5
23.96611111,50.05,76,24,32.474,0.1788875,0.61,1.1,5
23.96611111,50.01,79,30.11111111,32.111,0.1114825,0.61,1,5
24.44777778,47.23,82,36,31.693,0.333956,0.61,1,5
24.06222222,48.64,76,24,32.111,0.2884815,0.61,1,5
24.35111111,47.8,76,14.5,32.889,0.2341315,0.61,1.1,5
26,44.9,78,30.11111111,33.173,0.249844,0.61,1.1,5
24.93111111,46.93,80,26,33.405,0.209797,0.61,1,4
24.44777778,47.53,88,58,32.422,0.3382495,0.61,1,4
24.15777778,47.99,79.5,33,33.199,0.4759465,0.61,1,4
23.86888889,47.94,74,30.11111111,33.173,0.315574,0.61,1,4
23.67722222,48.13,78,18,32.448,0.0240815,0.61,1,4
23.48388889,48.28,73,18,31.641,0.0266905,0.61,1,4
23.19611111,48.26,73.1827957,22,31.902,0.0456055,0.61,1,4
23.00388889,48.35,74,15,31.85,0.0606425,0.61,1,4
22.81222222,48.34,66,11,32.085,0.0750975,0.61,1,4
22.90777778,47.94,73.1827957,30.11111111,32.6646747,0.0044605,0.61,1,4
23.19611111,47.19,73.1827957,30.11111111,32.6646747,0.34182887,0.74,1,4
22.62111111,48.09,0,30.11111111,32.6646747,0.34182887,0.74,1,3
22.42888889,44.35,73.1827957,30.11111111,32.6646747,0.34182887,0.74,0.8,2
22.71722222,43.5,73,16.5,31.772,0.012577,0.74,1,2
22.81222222,43.38,72,16,32.604,0.048976,0.74,1,2
22.62111111,44.6,71,5,32.526,0.0198465,0.74,1,2
23.77277778,43.46,60,17,33.688,0.0384405,0.74,1,2
24.44777778,42.23,60,23,33.919,0.049122,0.74,1,3
24.64111111,41.75,58,23,34.558,0.059034,0.74,1.1,3
24.545,42.14,83,30.11111111,33.79,0.0602635,0.74,1,3
24.06222222,44.33,78,54,33.096,0.059885,0.74,1,3
23.86888889,44.23,73,19,32.811,0.0643105,0.74,1,3
23.86888889,44.2,73.1827957,17,31.955,0.0125505,0.74,1,3
24.73777778,42.85,72,24,32.707,0.040717,0.74,1,3
24.73777778,41.81,75,20,32.007,0.0450985,0.74,1,4
24.545,41.32,93,30.11111111,31.929,0.051173,0.61,1,4
23.96611111,35.36,88,30.11111111,31.798,1.6684065,0.61,1,4
24.15777778,38.12,81,71,31.719,0.4346105,0.61,1,4
24.35111111,39.15,77,30.11111111,31.902,0.327808,0.61,1,4
24.35111111,39.84,76,30.11111111,32.707,0.27221,0.61,1.7,4
24.35111111,40.37,76,19,32.241,0.0487875,0.61,1.1,4
24.35111111,40.52,84,30.11111111,31.588,0.061833,0.61,1.1,4
24.35111111,41.07,84,69,33.868,1.195511,0.61,1,4
24.64111111,42.23,75,30.11111111,33.893,0.5802135,0.61,1,4
24.44777778,42.23,97,30.11111111,33.199,0.9622485,0.61,1,4
24.255,42.41,106,30.11111111,30.669,5.6467085,0.61,1,4
23.96611111,42.55,106,30.11111111,31.615,1.6854785,0.61,1,4
23.86888889,43.4,76,34.5,33.585,0.6718455,0.61,1,4
23.86888889,43.89,86,56,32.889,0.629143,0.61,1,4
23.77277778,44.32,79.5,46,31.588,0.544272,0.61,1,4
23.67722222,44.57,88,55,32.993,0.691388,0.61,1,4
23.58111111,44.87,78.5,40,32.241,0.6376545,0.61,1,4
24.255,43.47,72,36,32.578,0.533264,0.61,1,4
24.06222222,43.87,73.5,39,31.902,0.4129515,0.61,1,3
23.86888889,44.57,73.1827957,30.11111111,32.6646747,0.002163,0.61,1,3
23.67722222,44.91,73.1827957,30.11111111,32.6646747,0.0003005,0.61,1,3
26.48777778,38.38,73.1827957,30.11111111,32.6646747,0.34182887,0.74,1,3
26.29222222,38.69,73.1827957,30.11111111,32.6646747,0.34182887,0.74,1,3
26.29222222,38.37,65,13,33.25,0.0397685,0.74,1,3
25.125,40.14,63,22,33.456,0.0420055,0.74,1,3
24.545,41.38,62,14,33.971,0.070634,0.74,1,3
24.15777778,42.28,59,23,33.996,0.068711,0.74,1,3
23.86888889,42.89,61,18,34.175,0.0675255,0.74,1.1,3
24.73777778,42.15,73.1827957,59,33.816,0.0832225,0.74,1,3
24.64111111,41.99,74,42,32.448,0.0852075,0.74,1,3
24.44777778,42.81,75,50,32.474,0.0401875,0.61,1,4
24.44777778,43.14,73,43,32.915,0.054435,0.61,1,4
24.545,43.48,84,62,32.085,0.032164,0.61,1,4
24.64111111,43.85,86,56,31.955,0.052783,0.61,1,4
24.835,44.08,74,31,30.616,0.0133165,0.61,1,4
24.93111111,44.26,78,43,32.5,0.024143,0.61,1,4
24.93111111,44.83,71,42,32.707,0.0632485,0.61,1,4
25.02777778,44.77,72,28.5,33.482,0.058099,0.61,1.1,4
25.02777778,44.52,64,30.11111111,32.889,8.284101,0.61,1.1,4
24.835,43.21,68.5,14,30.96,0.073315,0.61,1.1,4
24.93111111,44.14,75,30.11111111,30.828,0.0901265,0.61,1,4
24.93111111,44.8,84,69,31.458,0.080913,0.61,1,4
24.835,45.17,75,38,31.955,0.0819455,0.61,1,4
24.73777778,45.36,80,52.5,33.919,0.0945585,0.61,1,4
24.73777778,45.52,74,38,32.189,0.08119,0.61,1,4
24.64111111,45.35,65,12,32.6646747,0.0023255,0.61,1,4
24.44777778,45.79,78,30.11111111,32.6646747,-0.000803,0.61,1,4
24.255,46.26,60.5,4,32.6646747,-0.0007565,0.61,1,4
24.06222222,46.68,62,23,32.6646747,0.000989,0.61,1,4
23.86888889,46.9,71,25,32.6646747,0.000168,0.61,1,4
23.67722222,46.53,79,30.11111111,32.6646747,-0.0012435,0.61,1,4
