env_temp,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,TC
25.90222222,56.14,73.52631579,43.80434783,32.81014516,0.00115,0.36,1,3
26.97722222,51.76,76,60,32.5,0.046663,0.54,1.1,4
27.17277778,49.86,78,57,33.662,0.210819,0.54,1.1,4
27.46777778,48.49,80,68,33.79,0.3307175,0.36,1.1,4
27.665,47.74,82,66,33.585,1.5506775,0.36,1.1,5
27.56722222,48.68,85,75,32.733,1.967911,0.31,1,4
26.585,47.97,74,50,33.173,1.063477,0.31,1.1,4
26.87888889,52.22,79,56,32.656,0.139741,0.31,1.8,6
27.17277778,51.88,68,30.5,32.941,0.3922505,0.31,1.8,6
27.17277778,46.39,68,43.80434783,33.044,0.2230555,0.31,1.8,6
26.78111111,56.91,71,36,32.448,0.139007,0.31,1.1,5
29.85277778,61.6,92,43.80434783,31.955,3.9416575,0.31,1,4
27.27222222,51.09,71,43,32.682,0.0623345,0.31,0.8,3
26.78111111,52.75,86,64,33.482,0.233387,0.36,1.1,4
26,47.03,85,52.5,32.137,0.0144865,0.36,1,4
26.29222222,53.29,73.52631579,39,32.163,0.033447,0.36,1.1,4
26.78111111,51.86,88,39,32.474,0.0154455,0.36,1.1,4
26.195,53.64,73.52631579,43.80434783,34.15,0.1313685,0.54,0.8,4
26.29222222,53.34,66.5,43.80434783,34.354,0.6752175,0.54,0.8,5
26.39,53.22,73.52631579,43.80434783,34.558,0.5821505,0.54,0.8,5
26.39,53.12,64,15,33.07,0.0521255,0.54,0.8,5
26.48777778,52.96,67,22,33.456,0.2246335,0.54,0.8,6
26.48777778,52.69,64,19,33.456,0.7898155,0.54,0.8,6
26.68277778,54.76,61,12,33.507,0.5444035,0.36,1,5
27.27222222,52.03,74,47,31.745,0.1714455,0.36,1,4
27.46777778,51.89,67,43.80434783,32.682,0.04457,0.36,1.1,4
27.56722222,52.36,67,30,32.396,0.0524245,0.36,1,4
26.78111111,52.12,73.52631579,43.80434783,32.81014516,0.248207117,0.36,1,4
26.39,55.85,0,43.80434783,32.81014516,0.248207117,0.36,1.1,4
26.29222222,56.21,73.52631579,43.80434783,32.81014516,0.248207117,0.31,1,4
26.97722222,55.65,73.52631579,43.80434783,32.81014516,0.248207117,0.31,0.8,4
25.61,51.91,73.52631579,43.80434783,32.81014516,0.1151125,0.31,0.8,3
25.61,51.66,73.52631579,43.80434783,32.81014516,0.1144745,0.31,0.8,3
25.70777778,51.42,73.52631579,43.80434783,32.81014516,0.116643,0.36,0.8,4
25.90222222,54.7,0,43.80434783,32.81014516,0.248207117,0.36,1,4
26.48777778,53.43,73.52631579,43.80434783,32.81014516,0.248207117,0.36,1,4
26.78111111,51.68,73.52631579,43.80434783,32.81014516,0.248207117,0.36,1,3
27.17277778,50.74,82,70,32.63,0.0349945,0.57,1,4
27.27222222,51.21,81,68,33.765,0.097053,0.57,1,4
28.655,48.54,102,43.80434783,32.033,0.015856,0.57,1,4
31.57388889,43.34,79,43.80434783,32.863,0.0951295,0.36,1.8,5
31.67611111,45.12,91,82,32.759,0.064361,0.31,1.8,6
27.96111111,49.65,84,75,32.941,0.0921525,0.36,1.1,5
27.86222222,49.24,87,69,33.533,0.1091585,0.36,1.1,5
29.65222222,44.94,80,72,32.422,0.0388765,0.36,1,4
27.86222222,49.52,73.52631579,70,32.163,0.031258,0.36,1,4
27.76388889,49.78,75,49,31.955,0.0300315,0.36,1,4
27.665,50.08,72,36,32.37,0.070788,0.36,1.2,4
27.46777778,50.58,70,42,32.656,0.2320925,0.31,0.8,4
27.37,50.52,69,43.80434783,33.044,0.1749215,0.31,0.8,3
27.56722222,51.52,75.5,52,32.059,0.0151525,0.31,0.8,3
28.45611111,50.4,76,49,32.344,0.029255,0.36,1,4
28.555,48.41,69.5,36,32.37,0.1479875,0.36,1.1,4
27.86222222,50.23,79,49,32.033,0.145279,0.36,1,4
27.56722222,50.43,69,34,32.292,0.823657,0.36,1.1,5
27.46777778,50.54,73.52631579,43.80434783,31.85,0.5265945,0.36,1.1,4
27.37,51.27,68,40,32.474,0.5609265,0.36,1,4
27.17277778,51.28,73.52631579,43.80434783,32.81014516,0.0054255,0.36,1.1,4
26.87888889,53.28,73.52631579,43.80434783,32.81014516,0.002572,0.31,1,4
27.27222222,54.05,73.52631579,43.80434783,32.81014516,0.002812,0.31,1,4
27.27222222,52.21,73.52631579,43.80434783,32.81014516,0.0045105,0.31,0.8,4
26.39,53.88,73.52631579,43.80434783,32.81014516,0.0035435,0.57,0.8,4
26.39,52.85,73.52631579,43.80434783,32.81014516,0.003188,0.57,0.8,4
26.39,52.09,73.52631579,43.80434783,32.81014516,0.002094,0.54,0.8,4
26.48777778,51.42,73.52631579,43.80434783,32.81014516,0.001341,0.54,0.8,4
26.585,50.9,73.52631579,43.80434783,32.81014516,0.0029335,0.54,0.8,4
26.585,50.45,73.52631579,43.80434783,32.81014516,0.0052035,0.54,0.8,4
26.585,50.21,0,43.80434783,32.81014516,0.004202,0.36,0.8,4
26.585,50.13,73.52631579,43.80434783,32.81014516,0.0059205,0.36,0.8,4
26.585,50.02,73.52631579,43.80434783,32.81014516,0.0045135,0.36,1,4
26.585,49.94,73.52631579,43.80434783,32.81014516,0.003078,0.36,1,4
26.585,50.06,73.52631579,43.80434783,32.81014516,0.001366,0.31,1.1,4
26.68277778,50.23,82,43.80434783,32.81014516,0.248207117,0.31,1.8,5
29.75222222,47.98,92.5,57,32.941,0.069672,0.31,1.8,5
32.39388889,43.09,100,43.80434783,33.173,0.166216,0.36,1.1,4
27.56722222,48.57,81,33.5,33.25,0.118918,0.36,1,4
28.85277778,46.61,75,43.80434783,32.656,0.147122,0.36,1.1,4
29.35222222,43.67,86,43.80434783,31.3,0.036531,0.36,1.4,3
27.075,49.88,73.52631579,19,32.292,0.0336865,0.36,1.1,4
27.075,50.97,74,10,32.915,0.063566,0.36,1.1,4
27.46777778,50.33,73.52631579,23,32.422,1.2085395,0.36,1.4,4
27.665,50.69,69,3,32.63,0.081884,0.36,1.1,4
27.56722222,51.39,73.52631579,43.80434783,31.955,0.0109335,0.36,0.8,4
27.96111111,52.49,92,60.5,32.63,0.0105045,0.31,0.8,4
27.86222222,51.06,76,14,33.353,0.0145435,0.36,0.8,4
27.56722222,51.18,86,43.80434783,34.252,0.5135655,0.36,1.1,4
29.85277778,46.09,80,43.80434783,33.044,0.020628,0.36,1.1,4
28.75388889,38.21,75,13,33.224,0.1077805,0.36,1.1,4
28.35722222,41.5,73.52631579,8,32.837,0.131846,0.36,1.1,4
