env_temp,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,TC
24.67722222,56.683,77.81060606,31.59,31.45639362,0.0145575,0.31,1,3
24.70222222,55.564,109,31.59,31.536,16.0625565,0.57,1,3
24.87111111,55.303,80,55,31.45639362,0.145955,0.57,1.2,3
25.04,54.516,91,55,31.45639362,0.0469835,0.57,1,4
25.08888889,53.862,98,79,31.45639362,0.0309345,0.61,1.8,4
25.30722222,56.59,89,58,30.1005,0.0361785,0.61,1.1,4
25.01611111,57.108,92,69,30.537,0.0316355,0.61,1,4
24.48388889,58.3,89,31.59,32.163,0.0276875,0.61,1,4
24.41222222,58.63,75,27,32.707,0.0334625,0.36,1.7,4
24.65277778,58.233,77.81060606,31.59,31.327,0.435019,0.36,1.7,4
24.65277778,58.632,68,16.5,30.563,0.042751,0.57,1,3
24.87111111,58.204,63,1,31.588,0.0294515,0.61,1,4
24.94388889,58.37,62,2,31.772,0.0248485,0.61,1.8,5
24.82277778,58.073,86,31.59,30.378,0.0219355,0.61,1.1,5
25.11277778,58.055,77,33,32.448,0.046207,0.61,1,4
24.895,58.735,73,12,32.526,0.0325715,0.61,1,4
24.72611111,58.647,66,10,31.667,0.092671,0.61,1,4
24.46,59.502,97,54,33.379,0.0348425,0.61,1,4
24.43611111,59.714,63,4,31.772,0.0490605,0.61,1,4
24.46,60.087,77.81060606,0,31.065,0.0690985,0.61,2.5,4
24.53222222,60.006,53,0,32.137,0.06313,0.61,1,4
24.53222222,59.297,65,11,31.222,0.0582185,0.61,1,4
23.73722222,61.138,83,63,31.45639362,0.082877,0.57,3.5,5
23.30388889,62.441,89,31.59,31.45639362,0.3131155,0.57,3.5,5
23.23222222,63.128,64,7,30.14,0.06819,0.57,1,5
24.48388889,60.675,77.81060606,31.59,31.45639362,0.310681595,0.5,0.8,5
24.53222222,60.867,58,12,31.641,0.0435575,0.5,0.8,5
24.55722222,60.994,57,13,32.137,0.0590905,0.5,0.8,5
24.605,61.155,58,6,32.474,0.071027,0.36,1.2,3
24.315,58.522,104,31.59,31.45639362,0.7989705,0.57,3.5,5
24.50777778,59.971,94,85.5,31.45639362,1.801363,0.57,1.8,5
24.91888889,58.924,85,75,31.379,0.06778,0.57,1.1,4
25.30722222,59.046,118,31.59,31.45639362,0.041214,0.61,1,4
25.42777778,56.233,88,80,30.325,0.034206,0.61,1.7,4
24.79777778,48.49,81,31.59,31.45639362,0.0218445,0.61,1.7,4
24.00222222,44.989,82,31.59,31.45639362,0.0195095,0.61,1.7,4
24.62888889,46.155,91,31.59,31.45639362,0.0232705,0.61,1.7,4
25.355,45.927,69,54,31.45639362,0.0343725,0.61,1.7,4
23.97777778,50.963,72,31.59,31.45639362,0.027054,0.61,1.7,4
25.13722222,49.272,78,31.59,31.45639362,0.0224745,0.61,1.7,4
24.48388889,52.265,104,31.59,31.45639362,0.070639,0.61,1.7,4
22.77611111,50.518,83,72,31.45639362,0.021818,0.61,1.7,4
20.50722222,54.054,75,63,31.45639362,0.0250155,0.61,1.2,4
20.57888889,54.282,93,86,31.45639362,0.022263,0.61,1,4
22.68111111,61.06,91,75,31.45639362,0.0264105,0.57,1.1,4
23.37611111,59.609,60,23,31.45639362,0.035705,0.57,1.1,4
23.64111111,59.07,92,31.59,31.039,0.0397345,0.61,1,5
23.71277778,58.553,77,48,30.642,0.037504,0.61,1,5
24.00222222,57.452,67,28,31.17,0.0344485,0.61,1,5
24.00222222,56.987,77.81060606,39,31.3,0.0539265,0.61,1,5
24.05,56.87,74,31.59,31.588,0.051113,0.57,3.5,5
24.09777778,59.353,77.81060606,31.59,31.45639362,0.012159,0.5,0.8,5
24.12222222,59.295,77.81060606,31.59,31.45639362,0.012697,0.5,0.8,5
23.80888889,55.496,77.81060606,31.59,31.45639362,0.012761,0.61,1,4
23.80888889,54.403,71,15.5,31.45639362,0.0153255,0.61,1.8,4
23.80888889,53.87,77.81060606,31.59,31.45639362,0.894561,0.57,3.5,5
24.315,52.179,83,66,30.933,0.031839,0.57,1.8,5
23.95388889,51.561,116,31.59,31.693,0.023861,0.61,1.1,4
23.97777778,51.058,81,49,30.457,0.0228305,0.61,1,4
24.14611111,51.112,79,31.59,30.669,0.034371,0.61,1,4
24.53222222,51.164,84.5,31,32.552,0.0333835,0.61,0.8,5
24.55722222,49.483,82,27,32.344,0.0389035,0.61,0.8,5
24.36277778,49.012,56,0,33.61,0.0516,0.61,0.8,5
24.12222222,49.999,78,31.59,32.474,0.0331235,0.61,1,3
23.71277778,50.579,59,1,30.88,0.0320615,0.61,1,5
23.64111111,50.189,59,2,30.457,0.02876,0.61,1,5
23.59277778,51.259,64,10,31.45639362,0.0258235,0.61,0.8,5
24.195,51.593,69,14,31.824,0.0436905,0.57,2.5,4
24.14611111,51.207,72,23,30.061,0.0326205,0.57,1,3
24.24277778,51.41,61,8,31.274,0.0372555,0.61,1.1,4
24.36277778,51.173,77,31.59,31.981,0.037075,0.61,1.1,4
24.50777778,50.558,66,6,30.775,0.0391565,0.61,1,4
24.58111111,50.218,64,6,31.458,0.047966,0.61,1,4
24.67722222,49.849,67,1,31.379,0.030308,0.61,1,4
24.62888889,49.875,64,4,30.907,0.0400555,0.61,1,4
